indicatorId,geoUnit,year,value
NY.GDP.PCAP.CD,ABW,2000,21026.16709
NY.GDP.PCAP.CD,ABW,2001,20911.19277
NY.GDP.PCAP.CD,ABW,2002,21375.26912
NY.GDP.PCAP.CD,ABW,2003,22050.58987
NY.GDP.PCAP.CD,ABW,2004,24105.52412
NY.GDP.PCAP.CD,ABW,2005,24978.22167
NY.GDP.PCAP.CD,ABW,2006,25832.92556
NY.GDP.PCAP.CD,ABW,2007,27665.29948
NY.GDP.PCAP.CD,ABW,2008,29011.63906
NY.GDP.PCAP.CD,ABW,2009,25740.77023
NY.GDP.PCAP.CD,ABW,2010,24452.58874
NY.GDP.PCAP.CD,ABW,2011,26043.15633
NY.GDP.PCAP.CD,ABW,2012,25611.17577
NY.GDP.PCAP.CD,ABW,2013,26514.86898
NY.GDP.PCAP.CD,ABW,2014,26940.26411
NY.GDP.PCAP.CD,ABW,2015,28419.26453
NY.GDP.PCAP.CD,ABW,2016,28449.71295
NY.GDP.PCAP.CD,ABW,2017,29329.08175
NY.GDP.PCAP.CD,ABW,2018,30918.48358
NY.GDP.PCAP.CD,ABW,2019,31902.80982
NY.GDP.PCAP.CD,ABW,2020,24008.12782
NY.GDP.PCAP.CD,ABW,2021,29127.75938
NY.GDP.PCAP.CD,ABW,2022,33300.83882
NY.GDP.PCAP.CD,AFG,2000,180.18837
NY.GDP.PCAP.CD,AFG,2001,142.90336
NY.GDP.PCAP.CD,AFG,2002,182.17404
NY.GDP.PCAP.CD,AFG,2003,199.64323
NY.GDP.PCAP.CD,AFG,2004,221.83053
NY.GDP.PCAP.CD,AFG,2005,254.11528
NY.GDP.PCAP.CD,AFG,2006,274.01539
NY.GDP.PCAP.CD,AFG,2007,376.3183
NY.GDP.PCAP.CD,AFG,2008,382.53381
NY.GDP.PCAP.CD,AFG,2009,453.38739
NY.GDP.PCAP.CD,AFG,2010,562.49922
NY.GDP.PCAP.CD,AFG,2011,608.73885
NY.GDP.PCAP.CD,AFG,2012,653.41747
NY.GDP.PCAP.CD,AFG,2013,638.73318
NY.GDP.PCAP.CD,AFG,2014,626.51293
NY.GDP.PCAP.CD,AFG,2015,566.88113
NY.GDP.PCAP.CD,AFG,2016,523.05301
NY.GDP.PCAP.CD,AFG,2017,526.1408
NY.GDP.PCAP.CD,AFG,2018,492.09063
NY.GDP.PCAP.CD,AFG,2019,497.74143
NY.GDP.PCAP.CD,AFG,2020,512.0551
NY.GDP.PCAP.CD,AFG,2021,355.77783
NY.GDP.PCAP.CD,AFG,2022,352.60373
NY.GDP.PCAP.CD,AGO,2000,556.88425
NY.GDP.PCAP.CD,AGO,2001,527.46411
NY.GDP.PCAP.CD,AGO,2002,872.65763
NY.GDP.PCAP.CD,AGO,2003,982.80559
NY.GDP.PCAP.CD,AGO,2004,1254.69612
NY.GDP.PCAP.CD,AGO,2005,1900.72381
NY.GDP.PCAP.CD,AGO,2006,2597.96359
NY.GDP.PCAP.CD,AGO,2007,3121.34873
NY.GDP.PCAP.CD,AGO,2008,4081.71751
NY.GDP.PCAP.CD,AGO,2009,3123.69889
NY.GDP.PCAP.CD,AGO,2010,3586.66369
NY.GDP.PCAP.CD,AGO,2011,4608.15517
