indicatorId,geoUnit,year,value
200101,ABW,2000,87.822
200101,ABW,2001,89.701
200101,ABW,2002,90.909
200101,ABW,2003,91.848
200101,ABW,2004,92.772
200101,ABW,2005,93.653
200101,ABW,2006,94.807
200101,ABW,2007,95.978
200101,ABW,2008,97.196
200101,ABW,2009,98.413
200101,ABW,2010,99.638
200101,ABW,2011,100.589
200101,ABW,2012,101.373
200101,ABW,2013,102.154
200101,ABW,2014,102.961
200101,ABW,2015,103.784
200101,ABW,2016,104.585
200101,ABW,2017,105.368
200101,ABW,2018,106.093
200101,ABW,2019,106.771
200101,ABW,2020,107.381
200101,ABW,2021,107.42
200101,ABW,2022,107.696
200101,ABW,2023,107.868
200101,AFG,2000,20251.958
200101,AFG,2001,20008.696
200101,AFG,2002,20559.918
200101,AFG,2003,22196.316
200101,AFG,2004,23269.782
200101,AFG,2005,23851.525
200101,AFG,2006,24957.609
200101,AFG,2007,25890.58
200101,AFG,2008,25929.124
200101,AFG,2009,27036.12
200101,AFG,2010,27896.081
200101,AFG,2011,28672.096
200101,AFG,2012,30023.32
200101,AFG,2013,31096.748
200101,AFG,2014,32148.66
200101,AFG,2015,33436.386
200101,AFG,2016,34227.141
200101,AFG,2017,35174.083
200101,AFG,2018,36203.786
200101,AFG,2019,37282.292
200101,AFG,2020,38429.95
200101,AFG,2021,39708.008
200101,AFG,2022,40292.816
200101,AFG,2023,40864.868
200101,AGO,2000,15925.474
200101,AGO,2001,16464.263
200101,AGO,2002,17030.152
200101,AGO,2003,17625.247
200101,AGO,2004,18262.177
200101,AGO,2005,18938.669
200101,AGO,2006,19643.652
200101,AGO,2007,20386.906
200101,AGO,2008,21170.217
200101,AGO,2009,21987.093
200101,AGO,2010,22842.454
200101,AGO,2011,23747.196
200101,AGO,2012,24689.507
200101,AGO,2013,25665.281
200101,AGO,2014,26665.959
200101,AGO,2015,27655.58
200101,AGO,2016,28660.016
200101,AGO,2017,29706.124
200101,AGO,2018,30763.554
200101,AGO,2019,31830.756
200101,AGO,2020,32920.509
200101,AGO,2021,33981.756
200101,AGO,2022,35083.102
200101,AGO,2023,36186.956
200101,AIA,2000,11.002
200101,AIA,2001,11.351
200101,AIA,2002,11.592
200101,AIA,2003,11.781
200101,AIA,2004,11.968
200101,AIA,2005,12.167
200101,AIA,2006,12.366
200101,AIA,2007,12.573
200101,AIA,2008,12.779
200101,AIA,2009,13
200101,AIA,2010,13.227
200101,AIA,2011,13.462
200101,AIA,2012,13.677
200101,AIA,2013,13.081
200101,AIA,2014,13.423
200101,AIA,2015,14.034
200101,AIA,2016,14.385
200101,AIA,2017,14.256
200101,AIA,2018,14.594
200101,AIA,2019,14.848
200101,AIA,2020,14.799
200101,AIA,2021,14.887
200101,AIA,2022,14.062
200101,AIA,2023,14.297
200101,ALB,2000,3177.586
200101,ALB,2001,3154.709
200101,ALB,2002,3141.178
200101,ALB,2003,3127.006
200101,ALB,2004,3109.169
200101,ALB,2005,3088.146
200101,ALB,2006,3064.172
200101,ALB,2007,3037.445
200101,ALB,2008,3008.329
200101,ALB,2009,2977.532
200101,ALB,2010,2945.427
200101,ALB,2011,2912.016
200101,ALB,2012,2910.992
200101,ALB,2013,2909.016
200101,ALB,2014,2906.129
200101,ALB,2015,2901.37
200101,ALB,2016,2895.894
200101,ALB,2017,2899.839
200101,ALB,2018,2896.646
200101,ALB,2019,2891.816
200101,ALB,2020,2878.203
200101,ALB,2021,2865.704
200101,ALB,2022,2833.567
200101,ALB,2023,2821.649
200101,AND,2000,65.763
200101,AND,2001,65.607
200101,AND,2002,66.097
200101,AND,2003,66.915
200101,AND,2004,72.056
200101,AND,2005,76.594
200101,AND,2006,78.247
200101,AND,2007,80.924
200101,AND,2008,82.831
200101,AND,2009,84.158
200101,AND,2010,83.618
200101,AND,2011,77.794
200101,AND,2012,77.772
200101,AND,2013,75.896
200101,AND,2014,74.491
200101,AND,2015,72.983
200101,AND,2016,71.364
200101,AND,2017,72.999
200101,AND,2018,74.526
200101,AND,2019,75.798
200101,AND,2020,77.149
200101,AND,2021,77.611
200101,AND,2022,79.116
200101,AND,2023,80.294
200101,ARE,2000,3379.342
200101,ARE,2001,3607.809
200101,ARE,2002,3839.372
200101,ARE,2003,4074.28
200101,ARE,2004,4310.634
200101,ARE,2005,4547.3
200101,ARE,2006,4782.28
200101,ARE,2007,5235.92
200101,ARE,2008,6013.349
200101,ARE,2009,6591.98
200101,ARE,2010,6822.136
200101,ARE,2011,7054.59
200101,ARE,2012,7344.257
200101,ARE,2013,7649.98
